panel,family,n,arm,ratio,lo,hi,seeds
density,er_d2,5000,mean_degree,0.9781570210400019,0.49099464781114716,1.3806837307779216,3
density,er_d2,5000,mean_map,0.8548565924827873,0.2971431654641561,1.4574125798878559,3
density,er_d2,5000,mean_ring,1.008179391591719,0.3817575407827594,1.6751486431778067,3
density,er_d2,5000,selected_grid,1.3074948178475396,0.603938925991757,1.9349939465728343,3
density,er_d256,1000,binary,1.2722376764161156,1.2527341629339355,1.2997810876710074,3
density,er_d256,1000,caliber,1.2950066778231255,1.2799443129709185,1.3107813594681517,3
density,er_d256,1000,degree4,1.253015894504291,1.2361925594513195,1.2777869612264086,3
density,er_d256,1000,fourary,1.2401095373973368,1.185344307380208,1.3015908226898092,3
density,er_d256,1000,max_maxdegree,0.6973554699118596,0.6932412043539221,0.699460488912272,3
density,er_d256,1000,mean_degree,0.6746895084869734,0.6608724827473851,0.6962944660060078,3
density,er_d256,1000,mean_map,0.657802129463816,0.6398906185137153,0.6685735016501115,3
density,er_d256,1000,mean_ring,0.6491760546559513,0.6313498106689508,0.666193962368563,3
density,er_d256,1000,selected_grid,0.7899721842415602,0.7737131435158227,0.8073037461920334,3
density,er_d256,5000,binary,1.199008293088249,1.1857297852576216,1.22322018568481,3
density,er_d256,5000,caliber,1.2069049544921133,1.1746643182048861,1.2300470479927512,3
density,er_d256,5000,degree4,1.1826068818672801,1.148185175456273,1.234207370062878,3
density,er_d256,5000,fourary,1.1356695058609971,1.1181056451918847,1.1487415838518804,3
density,er_d256,5000,max_maxdegree,0.8260327369726533,0.8115900479271485,0.8351175097434477,3
density,er_d256,5000,mean_degree,0.8095515674266556,0.7975237809685504,0.8254002593078903,3
density,er_d256,5000,mean_map,0.651169867120048,0.6360448296296994,0.6701827692998804,3
density,er_d256,5000,mean_ring,0.6384492935901198,0.6204285068222483,0.6528762669758529,3
density,er_d256,5000,selected_grid,0.8318726201090564,0.7724007199929073,0.8862489523456103,3
density,er_d32,1000,binary,1.0410505249079538,1.0305579305527115,1.0537740325814744,3
density,er_d32,1000,caliber,1.08491171605708,1.0743825394042659,1.097490120440088,3
density,er_d32,1000,degree4,0.9980996369613445,0.9579243435582498,1.0226575126707407,3
density,er_d32,1000,fourary,1.0463590710297266,1.041237509655958,1.0538622906935902,3
density,er_d32,1000,max_maxdegree,1.1621200926542128,1.1542083267010423,1.1731255768614997,3
density,er_d32,1000,mean_degree,1.1163746113254178,1.101776221801488,1.134452444905387,3
density,er_d32,1000,mean_map,1.2344186621332638,1.2220826691888407,1.255962062528007,3
density,er_d32,1000,mean_ring,1.2370395715023375,1.1862275492101553,1.2643526307458381,3
density,er_d32,1000,selected_grid,1.541397745647363,1.4982800906183862,1.5753188284904798,3
density,er_d32,5000,binary,1.050449676054833,1.041901182561125,1.0626953378450006,3
density,er_d32,5000,caliber,1.0729657789566844,1.0554857641655955,1.0918345461470311,3
density,er_d32,5000,degree4,0.9912380627835281,0.9792403115711769,0.9989394130272508,3
density,er_d32,5000,fourary,1.017135779333292,1.0042378737513424,1.0258804567960504,3
density,er_d32,5000,max_maxdegree,1.4038267609666326,1.371871642713698,1.4338519512384555,3
density,er_d32,5000,mean_degree,1.3708349954050534,1.3466277833255562,1.4074561581297143,3
density,er_d32,5000,mean_map,1.3690719158896987,1.2989543062235538,1.501383076911412,3
density,er_d32,5000,mean_ring,1.4232156048482851,1.3441051469761995,1.5622688621899397,3
density,er_d32,5000,selected_grid,1.5626574059203668,1.5045005377172815,1.6086699171801377,3
density,er_d4,1000,binary,0.9527609382750365,0.9444991542113244,0.962197097619343,3
density,er_d4,1000,caliber,1.110292057714931,1.0824230978579854,1.133669752046007,3
density,er_d4,1000,degree4,0.81752677672784,0.7878147853724112,0.8387486421423098,3
density,er_d4,1000,fourary,0.9395262593709455,0.9255017542088182,0.9550286954098077,3
density,er_d4,1000,max_maxdegree,1.0276898292581644,0.9933612253677513,1.0733629215839284,3
density,er_d4,1000,mean_degree,1.170413236484175,1.1337918730475143,1.189627601669695,3
density,er_d4,1000,mean_map,1.3611937368077969,1.3313047041665604,1.3846967373037242,3
density,er_d4,1000,mean_ring,1.4701408749549119,1.4661232919744873,1.4775750000622778,3
density,er_d4,1000,selected_grid,1.5009903766984307,1.3663210562684314,1.5945920903881021,3
density,er_d4,5000,binary,0.9624891902394039,0.9091637882727929,1.023281957864099,3
density,er_d4,5000,caliber,1.1263819763909728,1.1148287080222576,1.142435179751272,3
density,er_d4,5000,degree4,0.7868009129588938,0.7664952897682712,0.8021651995424077,3
