family,seed,source,layout,arm,round,position,ns,prep_ns,ingest_ns
sparse,42,666,bfs,mean_ring,6,0,74300,889900,11216200
sparse,42,666,potential,mean_ring,6,1,64400,38538100,11216200
sparse,42,666,rcm,mean_ring,6,2,101400,691800,11216200
sparse,42,666,potential,fourary,6,3,180800,38538100,11216200
sparse,42,666,rcm,fourary,6,4,167200,691800,11216200
sparse,42,666,identity,fourary,6,5,160000,0,11216200
sparse,42,666,identity,mean_ring,6,6,91500,0,11216200
sparse,42,666,bfs,fourary,6,7,153500,889900,11216200
sparse,42,666,bfs,fourary,7,0,150200,889900,11216200
sparse,42,666,identity,mean_ring,7,1,88700,0,11216200
sparse,42,666,identity,fourary,7,2,161800,0,11216200
sparse,42,666,rcm,fourary,7,3,192300,691800,11216200
sparse,42,666,potential,fourary,7,4,174400,38538100,11216200
sparse,42,666,rcm,mean_ring,7,5,142800,691800,11216200
sparse,42,666,potential,mean_ring,7,6,133900,38538100,11216200
sparse,42,666,bfs,mean_ring,7,7,179600,889900,11216200
sparse,42,666,potential,fourary,8,0,179600,38538100,11216200
sparse,42,666,rcm,mean_ring,8,1,140600,691800,11216200
sparse,42,666,identity,fourary,8,2,167700,0,11216200
sparse,42,666,bfs,fourary,8,3,146000,889900,11216200
sparse,42,666,potential,mean_ring,8,4,103600,38538100,11216200
sparse,42,666,rcm,fourary,8,5,189200,691800,11216200
sparse,42,666,identity,mean_ring,8,6,127100,0,11216200
sparse,42,666,bfs,mean_ring,8,7,120400,889900,11216200
sparse,42,666,bfs,mean_ring,9,0,103700,889900,11216200
sparse,42,666,identity,mean_ring,9,1,97800,0,11216200
sparse,42,666,rcm,fourary,9,2,203200,691800,11216200
sparse,42,666,potential,mean_ring,9,3,132300,38538100,11216200
sparse,42,666,bfs,fourary,9,4,213100,889900,11216200
sparse,42,666,identity,fourary,9,5,195600,0,11216200
sparse,42,666,rcm,mean_ring,9,6,134800,691800,11216200
sparse,42,666,potential,fourary,9,7,202600,38538100,11216200
sparse,42,666,identity,fourary,10,0,159600,0,11216200
sparse,42,666,bfs,fourary,10,1,160100,889900,11216200
sparse,42,666,rcm,mean_ring,10,2,105200,691800,11216200
sparse,42,666,bfs,mean_ring,10,3,94900,889900,11216200
sparse,42,666,potential,mean_ring,10,4,93600,38538100,11216200
sparse,42,666,potential,fourary,10,5,165900,38538100,11216200
sparse,42,666,identity,mean_ring,10,6,95000,0,11216200
sparse,42,666,rcm,fourary,10,7,169300,691800,11216200
sparse,42,666,rcm,fourary,11,0,190900,691800,11216200
sparse,42,666,identity,mean_ring,11,1,120500,0,11216200
sparse,42,666,potential,fourary,11,2,182600,38538100,11216200
sparse,42,666,potential,mean_ring,11,3,115800,38538100,11216200
sparse,42,666,bfs,mean_ring,11,4,124200,889900,11216200
sparse,42,666,rcm,mean_ring,11,5,105700,691800,11216200
sparse,42,666,bfs,fourary,11,6,173700,889900,11216200
sparse,42,666,identity,fourary,11,7,156400,0,11216200
clustered,42,333,bfs,mean_ring,0,0,253800,2833100,63954400
clustered,42,333,identity,mean_ring,0,1,257000,0,63954400
clustered,42,333,potential,fourary,0,2,292500,154915200,63954400
clustered,42,333,rcm,mean_ring,0,3,231900,2968400,63954400
clustered,42,333,potential,mean_ring,0,4,225100,154915200,63954400
clustered,42,333,identity,fourary,0,5,355500,0,63954400
clustered,42,333,rcm,fourary,0,6,331400,2968400,63954400
clustered,42,333,bfs,fourary,0,7,295800,2833100,63954400
clustered,42,333,bfs,fourary,1,0,285700,2833100,63954400
clustered,42,333,rcm,fourary,1,1,277700,2968400,63954400
clustered,42,333,identity,fourary,1,2,293200,0,63954400
clustered,42,333,potential,mean_ring,1,3,269700,154915200,63954400
clustered,42,333,rcm,mean_ring,1,4,320400,2968400,63954400
clustered,42,333,potential,fourary,1,5,310400,154915200,63954400
clustered,42,333,identity,mean_ring,1,6,233500,0,63954400
clustered,42,333,bfs,mean_ring,1,7,238400,2833100,63954400
clustered,42,333,potential,fourary,2,0,310200,154915200,63954400
clustered,42,333,identity,mean_ring,2,1,320700,0,63954400
clustered,42,333,bfs,mean_ring,2,2,277200,2833100,63954400
clustered,42,333,potential,mean_ring,2,3,233100,154915200,63954400
clustered,42,333,rcm,fourary,2,4,318600,2968400,63954400
clustered,42,333,identity,fourary,2,5,295500,0,63954400
clustered,42,333,bfs,fourary,2,6,289300,2833100,63954400
clustered,42,333,rcm,mean_ring,2,7,225400,2968400,63954400
clustered,42,333,rcm,mean_ring,3,0,228400,2968400,63954400
clustered,42,333,bfs,fourary,3,1,394900,2833100,63954400
clustered,42,333,identity,fourary,3,2,390100,0,63954400
clustered,42,333,rcm,fourary,3,3,386200,2968400,63954400
clustered,42,333,potential,mean_ring,3,4,275400,154915200,63954400
clustered,42,333,bfs,mean_ring,3,5,237100,2833100,63954400
clustered,42,333,identity,mean_ring,3,6,233100,0,63954400
clustered,42,333,potential,fourary,3,7,315200,154915200,63954400
clustered,42,333,potential,fourary,4,0,302800,154915200,63954400
clustered,42,333,rcm,mean_ring,4,1,243600,2968400,63954400
clustered,42,333,bfs,fourary,4,2,347900,2833100,63954400
clustered,42,333,rcm,fourary,4,3,341100,2968400,63954400
clustered,42,333,identity,fourary,4,4,681300,0,63954400
clustered,42,333,identity,mean_ring,4,5,308700,0,63954400
clustered,42,333,bfs,mean_ring,4,6,306000,2833100,63954400
clustered,42,333,potential,mean_ring,4,7,259500,154915200,63954400
clustered,42,333,potential,mean_ring,5,0,224500,154915200,63954400
clustered,42,333,bfs,mean_ring,5,1,311400,2833100,63954400
clustered,42,333,identity,mean_ring,5,2,257900,0,63954400
clustered,42,333,identity,fourary,5,3,306600,0,63954400
clustered,42,333,rcm,fourary,5,4,312000,2968400,63954400
clustered,42,333,bfs,fourary,5,5,334300,2833100,63954400
clustered,42,333,rcm,mean_ring,5,6,1068500,2968400,63954400
clustered,42,333,potential,fourary,5,7,350300,154915200,63954400
clustered,42,333,identity,mean_ring,6,0,284700,0,63954400
clustered,42,333,rcm,fourary,6,1,387400,2968400,63954400
clustered,42,333,potential,mean_ring,6,2,270600,154915200,63954400
clustered,42,333,potential,fourary,6,3,307100,154915200,63954400
clustered,42,333,identity,fourary,6,4,369600,0,63954400
clustered,42,333,rcm,mean_ring,6,5,314500,2968400,63954400
clustered,42,333,bfs,mean_ring,6,6,341700,2833100,63954400
clustered,42,333,bfs,fourary,6,7,364400,2833100,63954400
clustered,42,333,bfs,fourary,7,0,378200,2833100,63954400
clustered,42,333,bfs,mean_ring,7,1,324100,2833100,63954400
clustered,42,333,rcm,mean_ring,7,2,255100,2968400,63954400
clustered,42,333,identity,fourary,7,3,312100,0,63954400
clustered,42,333,potential,fourary,7,4,316900,154915200,63954400
clustered,42,333,potential,mean_ring,7,5,243100,154915200,63954400
clustered,42,333,rcm,fourary,7,6,316700,2968400,63954400
clustered,42,333,identity,mean_ring,7,7,256600,0,63954400
clustered,42,333,bfs,mean_ring,8,0,257100,2833100,63954400
clustered,42,333,rcm,mean_ring,8,1,229300,2968400,63954400
clustered,42,333,identity,mean_ring,8,2,223500,0,63954400
clustered,42,333,identity,fourary,8,3,308600,0,63954400
clustered,42,333,potential,mean_ring,8,4,257900,154915200,63954400
clustered,42,333,rcm,fourary,8,5,306900,2968400,63954400
clustered,42,333,potential,fourary,8,6,309200,154915200,63954400
clustered,42,333,bfs,fourary,8,7,309200,2833100,63954400
clustered,42,333,bfs,fourary,9,0,297500,2833100,63954400
clustered,42,333,potential,fourary,9,1,292000,154915200,63954400
clustered,42,333,rcm,fourary,9,2,294000,2968400,63954400
clustered,42,333,potential,mean_ring,9,3,249200,154915200,63954400
clustered,42,333,identity,fourary,9,4,322200,0,63954400
clustered,42,333,identity,mean_ring,9,5,242300,0,63954400
clustered,42,333,rcm,mean_ring,9,6,234700,2968400,63954400
clustered,42,333,bfs,mean_ring,9,7,225100,2833100,63954400
clustered,42,333,bfs,mean_ring,10,0,211700,2833100,63954400
clustered,42,333,potential,mean_ring,10,1,262000,154915200,63954400
clustered,42,333,rcm,fourary,10,2,327700,2968400,63954400
clustered,42,333,identity,mean_ring,10,3,235500,0,63954400
clustered,42,333,potential,fourary,10,4,311500,154915200,63954400
