case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
42,667,mean_ring,2658,2658,0,0,104602,0,0,0,2657,46,5,2000,612,26118,1272,0,0,0
42,667,mean_degree,2803,2803,0,0,104602,0,0,0,2802,0,6,2000,803,52301,968,0,0,0
42,667,max_maxdegree,2803,2803,0,0,104602,0,0,0,2802,0,6,2000,803,52301,968,0,0,0
42,667,caliber,2752,2752,51792,2083,52301,0,0,0,2910,911,0,2000,0,0,0,0,0,0
42,667,degree4,2544,2544,46518,1797,52301,0,0,0,2543,544,0,2000,0,0,0,0,0,18446744073709551615
42,667,selected_grid,2737,2737,0,0,104602,0,0,0,2736,10,4,2000,727,0,1305,0,0,0
42,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1333,binary,2616,2616,48170,1882,52301,0,0,0,2615,616,0,2000,0,0,0,0,0,0
42,1333,fourary,2616,2616,50649,1882,52301,0,0,0,2615,616,0,2000,0,0,0,0,0,0
42,1333,mean_map,2890,2890,0,0,104602,0,0,0,2889,74,5,2000,816,26118,1151,0,0,0
42,1333,mean_ring,2890,2890,0,0,104602,0,0,0,2889,74,5,2000,816,26118,1151,0,0,0
42,1333,mean_degree,2875,2875,0,0,104602,0,0,0,2874,0,5,2000,875,52301,1167,0,0,0
42,1333,max_maxdegree,2875,2875,0,0,104602,0,0,0,2874,0,5,2000,875,52301,1167,0,0,0
42,1333,caliber,2740,2740,51593,2095,52301,0,0,0,2896,897,0,2000,0,0,0,0,0,0
42,1333,degree4,2616,2616,48170,1882,52301,0,0,0,2615,616,0,2000,0,0,0,0,0,18446744073709551615
42,1333,selected_grid,2838,2838,0,0,104602,0,0,0,2837,57,3,2000,781,0,1157,0,0,0
43,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,667,binary,3674,3674,72226,2508,52301,0,0,0,3673,1674,0,2000,0,0,0,0,0,0
43,667,fourary,3674,3674,76259,2508,52301,0,0,0,3673,1674,0,2000,0,0,0,0,0,0
43,667,mean_map,3851,3851,0,0,107315,0,0,0,3850,94,2,2103,1654,12601,2103,0,0,0
43,667,mean_ring,3851,3851,0,0,107315,0,0,0,3850,94,2,2103,1654,12601,2103,0,0,0
43,667,mean_degree,3786,3786,0,0,104602,0,0,0,3785,1417,196,2000,369,52301,581,0,0,0
43,667,max_maxdegree,3139,3139,0,0,104747,0,0,0,3138,412,32,2005,722,20906,1798,0,0,0
43,667,caliber,3874,3874,77601,2870,52301,0,0,0,4068,2069,0,2000,0,0,0,0,0,0
43,667,degree4,3674,3674,72226,2508,52301,0,0,0,3673,1674,0,2000,0,0,0,0,0,18446744073709551615
43,667,selected_grid,3474,3474,0,0,105842,0,0,0,3473,410,2,2047,1017,16338,2029,0,0,0
43,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1333,binary,3620,3620,71102,2530,52301,0,0,0,3619,1620,0,2000,0,0,0,0,0,0
43,1333,fourary,3620,3620,75252,2530,52301,0,0,0,3619,1620,0,2000,0,0,0,0,0,0
43,1333,mean_map,4026,4026,0,0,107712,0,0,0,4025,144,2,2117,1765,12601,2117,0,0,0
43,1333,mean_ring,4026,4026,0,0,107712,0,0,0,4025,144,2,2117,1765,12601,2117,0,0,0
43,1333,mean_degree,3715,3715,0,0,104602,0,0,0,3714,1355,189,2000,360,52301,567,0,0,0
43,1333,max_maxdegree,3192,3192,0,0,104797,0,0,0,3191,450,35,2007,735,20906,1837,0,0,0
43,1333,caliber,3775,3775,75499,2809,52301,0,0,0,3986,1987,0,2000,0,0,0,0,0,0
43,1333,degree4,3620,3620,71102,2530,52301,0,0,0,3619,1620,0,2000,0,0,0,0,0,18446744073709551615
43,1333,selected_grid,3541,3541,0,0,105818,0,0,0,3540,428,2,2046,1067,16338,2027,0,0,0
44,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,667,binary,2392,2392,43257,1495,52301,0,0,0,2391,392,0,2000,0,0,0,0,0,0
44,667,fourary,2392,2392,45494,1495,52301,0,0,0,2391,392,0,2000,0,0,0,0,0,0
44,667,mean_map,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
44,667,mean_ring,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
44,667,mean_degree,2419,2419,0,0,104602,0,0,0,2418,419,11,2000,0,52301,1140,0,0,0
44,667,max_maxdegree,2104,2104,0,0,104602,0,0,0,2103,104,3,2000,0,10530,1928,0,0,0
44,667,caliber,2035,2035,37714,1742,52301,0,0,0,2842,843,0,2000,0,0,0,0,0,0
44,667,degree4,2392,2392,43257,1495,52301,0,0,0,2391,392,0,2000,0,0,0,0,0,18446744073709551615
44,667,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,667,selected_grid,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
44,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1333,binary,2410,2410,43710,1511,52301,0,0,0,2409,410,0,2000,0,0,0,0,0,0
44,1333,fourary,2410,2410,46016,1511,52301,0,0,0,2409,410,0,2000,0,0,0,0,0,0
44,1333,mean_map,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
44,1333,mean_ring,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
44,1333,mean_degree,2384,2384,0,0,104602,0,0,0,2383,384,11,2000,0,52301,1108,0,0,0
44,1333,max_maxdegree,2156,2156,0,0,104602,0,0,0,2155,156,3,2000,0,10530,1895,0,0,0
44,1333,caliber,2051,2051,37957,1916,52301,0,0,0,2862,863,0,2000,0,0,0,0,0,0
44,1333,degree4,2410,2410,43710,1511,52301,0,0,0,2409,410,0,2000,0,0,0,0,0,18446744073709551615
44,1333,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1333,selected_grid,2000,2000,0,0,104602,0,0,0,1999,0,1,2000,0,10530,2000,0,0,0
45,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,667,binary,4762,4762,105202,2793,52301,0,0,0,4761,2762,0,2000,0,0,0,0,0,0
45,667,fourary,4762,4762,105913,2793,52301,0,0,0,4761,2762,0,2000,0,0,0,0,0,0
45,667,mean_map,5461,5461,0,0,119938,0,0,0,5460,388,2,2584,2489,24621,2584,0,0,0
45,667,mean_ring,5461,5461,0,0,119938,0,0,0,5460,388,2,2584,2489,24621,2584,0,0,0
45,667,mean_degree,2051,2051,0,0,104850,0,0,0,2050,2,4,2009,40,39025,2008,0,0,0
45,667,max_maxdegree,2107,2107,0,0,104977,0,0,0,2106,0,1,2014,93,38578,2014,0,0,0
45,667,caliber,2702,2702,54428,2701,52301,0,0,0,4700,2701,0,2000,0,0,0,0,0,0
45,667,degree4,4762,4762,105202,2793,52301,0,0,0,4761,2762,0,2000,0,0,0,0,0,18446744073709551615
45,667,selected_grid,2203,2203,0,0,105275,0,0,0,2202,2,2,2025,176,38140,2025,0,0,0
45,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1333,binary,4745,4745,104781,2776,52301,0,0,0,4744,2745,0,2000,0,0,0,0,0,0
45,1333,fourary,4745,4745,105599,2776,52301,0,0,0,4744,2745,0,2000,0,0,0,0,0,0
45,1333,mean_map,5048,5048,0,0,117314,0,0,0,5047,289,2,2480,2279,24621,2480,0,0,0
45,1333,mean_ring,5048,5048,0,0,117314,0,0,0,5047,289,2,2480,2279,24621,2480,0,0,0
45,1333,mean_degree,2042,2042,0,0,104728,0,0,0,2041,3,5,2005,34,39025,2004,0,0,0
45,1333,max_maxdegree,2181,2181,0,0,105860,0,0,0,2180,6,2,2048,127,38578,2048,0,0,0
45,1333,caliber,2739,2739,55214,2738,52301,0,0,0,4737,2738,0,2000,0,0,0,0,0,0
45,1333,degree4,4745,4745,104781,2776,52301,0,0,0,4744,2745,0,2000,0,0,0,0,0,18446744073709551615
45,1333,selected_grid,2238,2238,0,0,105958,0,0,0,2237,9,2,2052,177,38140,2052,0,0,0
46,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,667,binary,5474,5474,115987,3529,52301,0,0,0,5473,3474,0,2000,0,0,0,0,0,0
46,667,fourary,5474,5474,120978,3529,52301,0,0,0,5473,3474,0,2000,0,0,0,0,0,0
46,667,mean_map,5412,5412,0,0,118521,0,0,0,5411,1442,3,2531,1439,26050,1736,0,0,0
46,667,mean_ring,5412,5412,0,0,118521,0,0,0,5411,1442,3,2531,1439,26050,1736,0,0,0
46,667,mean_degree,5428,5428,0,0,104602,0,0,0,5427,3382,74,2000,46,51773,188,0,0,0
46,667,max_maxdegree,5388,5388,0,0,104624,0,0,0,5387,3282,55,2001,105,51255,267,0,0,0
46,667,caliber,4929,4929,103636,3630,52301,0,0,0,5593,3594,0,2000,0,0,0,0,0,0
46,667,degree4,5474,5474,115987,3529,52301,0,0,0,5473,3474,0,2000,0,0,0,0,0,18446744073709551615
46,667,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,667,selected_grid,4374,4374,0,0,107312,0,0,0,4373,1810,13,2103,461,45999,963,0,0,0
46,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1333,binary,5525,5525,117205,3527,52301,0,0,0,5524,3525,0,2000,0,0,0,0,0,0
46,1333,fourary,5525,5525,122270,3527,52301,0,0,0,5524,3525,0,2000,0,0,0,0,0,0
46,1333,mean_map,5434,5434,0,0,117955,0,0,0,5433,1187,3,2510,1737,26050,1350,0,0,0
46,1333,mean_ring,5434,5434,0,0,117955,0,0,0,5433,1187,3,2510,1737,26050,1350,0,0,0
46,1333,mean_degree,5492,5492,0,0,104602,0,0,0,5491,3436,78,2000,56,51773,166,0,0,0
46,1333,max_maxdegree,5446,5446,0,0,104651,0,0,0,5445,3339,59,2002,105,51255,249,0,0,0
46,1333,caliber,4996,4996,105186,3653,52301,0,0,0,5669,3670,0,2000,0,0,0,0,0,0
46,1333,degree4,5525,5525,117205,3527,52301,0,0,0,5524,3525,0,2000,0,0,0,0,0,18446744073709551615
46,1333,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1333,selected_grid,4373,4373,0,0,106747,0,0,0,4372,1833,13,2083,457,45999,850,0,0,0
47,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
