case,training_source,multiplier,median_ns,total_calibration_ns,selected
20,0,0.5,151900,11697500,false
20,0,0.75,142600,11697500,false
20,0,1,157050,11697500,false
20,0,1.5,133500,11697500,true
20,0,2,141300,11697500,false
20,0,4,146500,11697500,false
20,0,8,159450,11697500,false
20,0,16,210350,11697500,false
21,0,0.03125,434700,31478900,false
21,0,0.05,417000,31478900,false
21,0,0.1,366950,31478900,false
21,0,0.25,362200,31478900,false
21,0,0.5,368900,31478900,false
21,0,0.75,346900,31478900,true
21,0,1,375350,31478900,false
21,0,1.5,452050,31478900,false
21,0,2,379700,31478900,false
21,0,4,360750,31478900,false
21,0,8,603700,31478900,false
21,0,16,602750,31478900,false
22,0,0.03125,383750,22253000,false
22,0,0.05,357750,22253000,false
22,0,0.1,326250,22253000,false
22,0,0.25,297650,22253000,false
22,0,0.5,272050,22253000,false
22,0,0.75,262300,22253000,false
22,0,1,249200,22253000,false
22,0,1.5,275250,22253000,false
22,0,2,230200,22253000,true
22,0,4,246150,22253000,false
22,0,8,268800,22253000,false
22,0,16,283900,22253000,false
23,0,0.03125,365150,21159200,false
23,0,0.05,341800,21159200,false
23,0,0.1,315900,21159200,false
23,0,0.25,297300,21159200,false
23,0,0.5,266100,21159200,false
23,0,0.75,251750,21159200,false
23,0,1,244050,21159200,false
23,0,1.5,265050,21159200,false
23,0,2,277000,21159200,false
23,0,4,218400,21159200,true
23,0,8,266550,21159200,false
23,0,16,277700,21159200,false
24,0,0.03125,381500,20706000,false
24,0,0.05,343850,20706000,false
24,0,0.1,323350,20706000,false
24,0,0.25,291650,20706000,false
24,0,0.5,267200,20706000,false
24,0,0.75,254300,20706000,false
24,0,1,248400,20706000,false
24,0,1.5,250300,20706000,false
24,0,2,221150,20706000,true
24,0,4,221450,20706000,false
24,0,8,288850,20706000,false
24,0,16,297550,20706000,false
25,0,0.03125,807350,44359300,false
25,0,0.05,751850,44359300,false
25,0,0.1,648900,44359300,false
25,0,0.25,606600,44359300,false
25,0,0.5,588500,44359300,false
25,0,0.75,538300,44359300,false
25,0,1,520500,44359300,false
25,0,1.5,538550,44359300,false
25,0,2,501600,44359300,true
25,0,4,504450,44359300,false
25,0,8,622350,44359300,false
25,0,16,536900,44359300,false
26,0,0.03125,381250,29783500,false
26,0,0.05,394800,29783500,false
26,0,0.1,393550,29783500,false
26,0,0.25,412600,29783500,false
26,0,0.5,384500,29783500,false
26,0,0.75,379300,29783500,true
26,0,1,423850,29783500,false
26,0,1.5,385800,29783500,false
26,0,2,380250,29783500,false
26,0,4,395050,29783500,false
26,0,8,381500,29783500,false
26,0,16,385400,29783500,false
27,0,0.03125,562300,36674300,false
27,0,0.05,545100,36674300,false
27,0,0.1,483700,36674300,false
27,0,0.25,492450,36674300,false
27,0,0.5,476900,36674300,false
27,0,0.75,471000,36674300,true
27,0,1,485650,36674300,false
27,0,1.5,476350,36674300,false
27,0,2,497000,36674300,false
27,0,4,497100,36674300,false
27,0,8,527450,36674300,false
27,0,16,479750,36674300,false
28,0,0.03125,424400,31143000,false
28,0,0.05,419900,31143000,false
28,0,0.1,408650,31143000,false
28,0,0.25,418450,31143000,false
28,0,0.5,425300,31143000,false
28,0,0.75,406600,31143000,false
28,0,1,433450,31143000,false
28,0,1.5,412050,31143000,false
28,0,2,418000,31143000,false
28,0,4,404600,31143000,false
28,0,8,428250,31143000,false
28,0,16,404500,31143000,true
29,0,0.03125,462500,45341300,true
29,0,0.05,480900,45341300,false
29,0,0.1,465100,45341300,false
29,0,0.25,501350,45341300,false
29,0,0.5,543200,45341300,false
29,0,0.75,618250,45341300,false
29,0,1,636250,45341300,false
29,0,1.5,668750,45341300,false
29,0,2,682400,45341300,false
29,0,4,675500,45341300,false
29,0,8,653150,45341300,false
29,0,16,659000,45341300,false
30,0,0.03125,951700,65030300,false
30,0,0.05,910950,65030300,false
30,0,0.1,837050,65030300,false
30,0,0.25,696500,65030300,false
30,0,0.5,731950,65030300,false
30,0,0.75,678550,65030300,true
30,0,1,745100,65030300,false
30,0,1.5,845600,65030300,false
30,0,2,941550,65030300,false
30,0,4,997850,65030300,false
30,0,8,971050,65030300,false
30,0,16,977950,65030300,false
31,0,0.03125,737700,46357800,false
31,0,0.05,673100,46357800,false
31,0,0.1,597900,46357800,false
31,0,0.25,558800,46357800,false
31,0,0.5,548500,46357800,true
31,0,0.75,557800,46357800,false
31,0,1,556350,46357800,false
31,0,1.5,557250,46357800,false
31,0,2,599600,46357800,false
31,0,4,624050,46357800,false
31,0,8,578950,46357800,false
31,0,16,601600,46357800,false
32,0,0.03125,896250,46782400,false
32,0,0.05,824400,46782400,false
32,0,0.1,674000,46782400,false
32,0,0.25,619950,46782400,false
32,0,0.5,562100,46782400,false
32,0,0.75,562300,46782400,false
32,0,1,544900,46782400,false
32,0,1.5,587000,46782400,false
32,0,2,534450,46782400,true
32,0,4,553350,46782400,false
32,0,8,584600,46782400,false
32,0,16,555000,46782400,false
33,0,0.03125,507800,25862200,false
33,0,0.05,440100,25862200,false
33,0,0.1,379750,25862200,false
33,0,0.25,310550,25862200,false
33,0,0.5,301050,25862200,false
33,0,0.75,284750,25862200,false
33,0,1,290850,25862200,false
33,0,1.5,333550,25862200,false
33,0,2,247000,25862200,true
33,0,4,315750,25862200,false
33,0,8,317750,25862200,false
33,0,16,386550,25862200,false
34,0,0.03125,175300,13539900,false
34,0,0.05,177200,13539900,false
34,0,0.1,181400,13539900,false
34,0,0.25,191700,13539900,false
34,0,0.5,177900,13539900,false
34,0,0.75,187000,13539900,false
34,0,1,238900,13539900,false
34,0,1.5,177650,13539900,false
34,0,2,177000,13539900,false
34,0,4,163100,13539900,false
34,0,8,161900,13539900,true
34,0,16,166750,13539900,false
35,0,0.03125,448000,25010000,false
35,0,0.05,357550,25010000,false
35,0,0.1,354650,25010000,false
35,0,0.25,292850,25010000,false
35,0,0.5,282950,25010000,false
35,0,0.75,272100,25010000,false
35,0,1,264850,25010000,true
35,0,1.5,279900,25010000,false
35,0,2,293550,25010000,false
35,0,4,326050,25010000,false
35,0,8,322300,25010000,false
35,0,16,352350,25010000,false
36,0,0.03125,211350,13158700,false
36,0,0.05,189100,13158700,false
36,0,0.1,180300,13158700,false
36,0,0.25,160900,13158700,false
36,0,0.5,161050,13158700,false
36,0,0.75,147850,13158700,true
36,0,1,156200,13158700,false
36,0,1.5,152750,13158700,false
36,0,2,154650,13158700,false
36,0,4,160550,13158700,false
36,0,8,223150,13158700,false
36,0,16,228200,13158700,false
37,0,0.03125,489400,44938400,false
37,0,0.05,528050,44938400,false
