case,training_source,multiplier,median_ns,total_calibration_ns,selected
29,0,4,541900,36241600,false
29,0,8,532700,36241600,false
29,0,16,538550,36241600,false
30,0,0.03125,660850,45744800,false
30,0,0.05,622800,45744800,false
30,0,0.1,562450,45744800,false
30,0,0.25,486900,45744800,false
30,0,0.5,479300,45744800,true
30,0,0.75,483400,45744800,false
30,0,1,534200,45744800,false
30,0,1.5,650950,45744800,false
30,0,2,664850,45744800,false
30,0,4,780350,45744800,false
30,0,8,730400,45744800,false
30,0,16,754250,45744800,false
31,0,0.03125,675300,39645000,false
31,0,0.05,567650,39645000,false
31,0,0.1,511200,39645000,false
31,0,0.25,508350,39645000,false
31,0,0.5,472800,39645000,true
31,0,0.75,493100,39645000,false
31,0,1,487300,39645000,false
31,0,1.5,515750,39645000,false
31,0,2,509950,39645000,false
31,0,4,528300,39645000,false
31,0,8,515650,39645000,false
31,0,16,511150,39645000,false
32,0,0.03125,722550,42038200,false
32,0,0.05,660400,42038200,false
32,0,0.1,584050,42038200,false
32,0,0.25,566700,42038200,false
32,0,0.5,506350,42038200,false
32,0,0.75,508450,42038200,false
32,0,1,495900,42038200,false
32,0,1.5,480350,42038200,false
32,0,2,465750,42038200,true
32,0,4,511900,42038200,false
32,0,8,516100,42038200,false
32,0,16,495900,42038200,false
33,0,0.03125,372550,19111100,false
33,0,0.05,304400,19111100,false
33,0,0.1,294850,19111100,false
33,0,0.25,254650,19111100,false
33,0,0.5,231400,19111100,false
33,0,0.75,243250,19111100,false
33,0,1,215950,19111100,false
33,0,1.5,220150,19111100,false
33,0,2,197300,19111100,true
33,0,4,207550,19111100,false
33,0,8,257200,19111100,false
33,0,16,258350,19111100,false
34,0,0.03125,146950,11308900,false
34,0,0.05,143500,11308900,false
34,0,0.1,147400,11308900,false
34,0,0.25,139950,11308900,false
34,0,0.5,143600,11308900,false
34,0,0.75,150450,11308900,false
34,0,1,198800,11308900,false
34,0,1.5,144000,11308900,false
34,0,2,143900,11308900,false
34,0,4,134000,11308900,true
34,0,8,136450,11308900,false
34,0,16,136000,11308900,false
35,0,0.03125,323800,19420400,false
35,0,0.05,288600,19420400,false
35,0,0.1,283650,19420400,false
35,0,0.25,253750,19420400,false
35,0,0.5,232350,19420400,false
35,0,0.75,208350,19420400,false
35,0,1,207050,19420400,true
35,0,1.5,225150,19420400,false
35,0,2,241800,19420400,false
35,0,4,278500,19420400,false
35,0,8,272250,19420400,false
35,0,16,276750,19420400,false
36,0,0.03125,160450,10294800,false
36,0,0.05,152450,10294800,false
36,0,0.1,141050,10294800,false
36,0,0.25,134100,10294800,false
36,0,0.5,125450,10294800,false
36,0,0.75,120900,10294800,true
36,0,1,130450,10294800,false
36,0,1.5,126300,10294800,false
36,0,2,128300,10294800,false
36,0,4,126300,10294800,false
36,0,8,178850,10294800,false
36,0,16,183250,10294800,false
37,0,0.03125,407400,34825600,false
37,0,0.05,362550,34825600,false
37,0,0.1,352550,34825600,false
37,0,0.25,288100,34825600,false
37,0,0.5,358450,34825600,false
37,0,0.75,281150,34825600,true
37,0,1,355600,34825600,false
37,0,1.5,511750,34825600,false
37,0,2,583500,34825600,false
37,0,4,687200,34825600,false
37,0,8,718200,34825600,false
37,0,16,687550,34825600,false
38,0,0.03125,341550,18539700,false
38,0,0.05,314800,18539700,false
38,0,0.1,293850,18539700,false
38,0,0.25,256900,18539700,false
38,0,0.5,236900,18539700,false
38,0,0.75,225400,18539700,false
38,0,1,214600,18539700,false
38,0,1.5,214050,18539700,false
38,0,2,195200,18539700,true
38,0,4,198250,18539700,false
38,0,8,257400,18539700,false
38,0,16,254500,18539700,false
39,0,0.03125,346250,18266900,false
39,0,0.05,311400,18266900,false
39,0,0.1,290850,18266900,false
39,0,0.25,256300,18266900,false
39,0,0.5,238950,18266900,false
39,0,0.75,228200,18266900,false
39,0,1,224800,18266900,false
39,0,1.5,211450,18266900,false
39,0,2,193400,18266900,false
39,0,4,182800,18266900,true
39,0,8,234950,18266900,false
39,0,16,231200,18266900,false
40,0,0.03125,338800,19471000,false
40,0,0.05,315750,19471000,false
40,0,0.1,284500,19471000,false
40,0,0.25,255850,19471000,false
40,0,0.5,242250,19471000,false
40,0,0.75,226150,19471000,false
40,0,1,255600,19471000,false
40,0,1.5,217200,19471000,false
40,0,2,201150,19471000,true
40,0,4,207700,19471000,false
40,0,8,255550,19471000,false
40,0,16,255800,19471000,false
41,0,0.03125,772950,41957600,false
41,0,0.05,703700,41957600,false
41,0,0.1,598100,41957600,false
41,0,0.25,540950,41957600,false
41,0,0.5,509700,41957600,false
41,0,0.75,511800,41957600,false
41,0,1,518500,41957600,false
41,0,1.5,538850,41957600,false
41,0,2,464950,41957600,true
41,0,4,480700,41957600,false
41,0,8,530350,41957600,false
41,0,16,494750,41957600,false
42,0,0.03125,366950,27698400,false
42,0,0.05,352650,27698400,false
42,0,0.1,417450,27698400,false
42,0,0.25,350000,27698400,false
42,0,0.5,351950,27698400,false
42,0,0.75,377700,27698400,false
42,0,1,406350,27698400,false
42,0,1.5,353200,27698400,false
42,0,2,358050,27698400,false
42,0,4,365850,27698400,false
42,0,8,339100,27698400,true
42,0,16,362650,27698400,false
43,0,0.03125,533200,33960800,false
43,0,0.05,546800,33960800,false
43,0,0.1,456950,33960800,false
43,0,0.25,435800,33960800,false
43,0,0.5,418850,33960800,true
43,0,0.75,423400,33960800,false
43,0,1,435550,33960800,false
43,0,1.5,454500,33960800,false
43,0,2,445050,33960800,false
43,0,4,451850,33960800,false
43,0,8,429600,33960800,false
43,0,16,425350,33960800,false
44,0,0.03125,334400,25055800,false
44,0,0.05,352600,25055800,false
44,0,0.1,340400,25055800,false
44,0,0.25,336700,25055800,false
44,0,0.5,336300,25055800,false
44,0,0.75,336700,25055800,false
44,0,1,345350,25055800,false
44,0,1.5,344050,25055800,false
44,0,2,338050,25055800,false
44,0,4,340750,25055800,false
44,0,8,331500,25055800,true
44,0,16,336000,25055800,false
45,0,0.03125,370550,34515100,true
45,0,0.05,392900,34515100,false
45,0,0.1,376900,34515100,false
45,0,0.25,411300,34515100,false
45,0,0.5,438650,34515100,false
45,0,0.75,459250,34515100,false
45,0,1,463300,34515100,false
45,0,1.5,494650,34515100,false
45,0,2,505950,34515100,false
45,0,4,484600,34515100,false
45,0,8,488400,34515100,false
45,0,16,491550,34515100,false
46,0,0.03125,672000,48432900,false
46,0,0.05,625350,48432900,false
46,0,0.1,594900,48432900,false
46,0,0.25,506350,48432900,false
46,0,0.5,494450,48432900,true
46,0,0.75,568450,48432900,false
46,0,1,537950,48432900,false
46,0,1.5,670600,48432900,false
46,0,2,698650,48432900,false
46,0,4,762300,48432900,false
46,0,8,793450,48432900,false
46,0,16,742500,48432900,false
47,0,0.03125,607650,39505300,false
47,0,0.05,569150,39505300,false
47,0,0.1,508650,39505300,false
47,0,0.25,491550,39505300,false
47,0,0.5,461500,39505300,true
47,0,0.75,480100,39505300,false
47,0,1,489100,39505300,false
47,0,1.5,545900,39505300,false
47,0,2,541050,39505300,false
47,0,4,546250,39505300,false
47,0,8,522600,39505300,false
47,0,16,516750,39505300,false
48,0,0.03125,754900,41907800,false
48,0,0.05,679600,41907800,false
48,0,0.1,599900,41907800,false
48,0,0.25,555700,41907800,false
48,0,0.5,512050,41907800,false
48,0,0.75,563850,41907800,false
48,0,1,506750,41907800,false
48,0,1.5,496650,41907800,false
48,0,2,510900,41907800,false
48,0,4,471400,41907800,true
48,0,8,538750,41907800,false
48,0,16,486800,41907800,false
