case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_fast,100,469,42,0,grid_1,3,11,10800,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,4,0,21200,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,4,1,16000,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_4,4,2,7700,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_2,4,3,8900,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,4,4,11000,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_8,4,5,6300,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,4,6,17200,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,4,7,11000,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,4,8,9400,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,4,9,14400,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,4,10,6200,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_1,4,11,9900,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_1,5,0,6400,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_16,5,1,6200,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,5,2,10600,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,5,3,8300,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,5,4,9800,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,5,5,18300,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_8,5,6,6700,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,5,7,11600,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_2,5,8,10100,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_4,5,9,8000,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,5,10,17700,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,5,11,24400,1.6110094409976146,300
1,smoke,sparse_fast,100,469,42,0,binary,0,0,14000,0,0
1,smoke,sparse_fast,100,469,42,0,fourary,0,1,15200,0,0
1,smoke,sparse_fast,100,469,42,0,mean_sqrtdegree,0,2,14300,23.804641343134683,300
1,smoke,sparse_fast,100,469,42,0,sd,0,3,13300,28.14871466100286,12600
1,smoke,sparse_fast,100,469,42,0,original_mean,0,4,10700,51.552302111923666,0
1,smoke,sparse_fast,100,469,42,0,mean_ring,0,5,12100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,heavy_only,0,6,11400,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,selected_grid,0,7,10700,412.4184168953893,1050700
1,smoke,sparse_fast,100,469,42,0,max_maxdegree,0,8,15800,12.459250994472354,1200
1,smoke,sparse_fast,100,469,42,0,mean_map,0,9,10300,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,std_binary,0,10,13100,0,0
1,smoke,sparse_fast,100,469,42,0,degree4,0,11,13900,0,10600
1,smoke,sparse_fast,100,469,42,0,caliber,0,12,11600,0,1700
1,smoke,sparse_fast,100,469,42,0,list_both,0,13,11700,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,mean_degree,0,14,16300,10.991962070772635,300
1,smoke,sparse_fast,100,469,42,0,skip_only,0,15,11200,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,median,0,16,11700,54.394396656336156,12000
1,smoke,sparse_fast,100,469,42,0,median,1,0,7200,54.394396656336156,12000
1,smoke,sparse_fast,100,469,42,0,skip_only,1,1,10900,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,mean_degree,1,2,11600,10.991962070772635,300
