key,panel,family,n,seed,source,round,binary,degree4,ratio,margin_ms
core:15,core,grid,10000,42,6666,10,1484200.0,1842700.0,0.8054485266185488,-0.3585
core:15,core,grid,10000,42,6666,11,1901800.0,1898600.0,1.001685452438639,0.0032
core:16,core,roadlike,1000,42,333,0,140100.0,138800.0,1.0093659942363113,0.0013
core:16,core,roadlike,1000,42,333,1,129500.0,133200.0,0.9722222222222222,-0.0037
core:16,core,roadlike,1000,42,333,2,134300.0,140000.0,0.9592857142857143,-0.0057
core:16,core,roadlike,1000,42,333,3,138200.0,142700.0,0.9684653118430273,-0.0045
core:16,core,roadlike,1000,42,333,4,127800.0,138100.0,0.9254163649529327,-0.0103
core:16,core,roadlike,1000,42,333,5,152100.0,160600.0,0.9470734744707348,-0.0085
core:16,core,roadlike,1000,42,333,6,146000.0,166800.0,0.8752997601918465,-0.0208
core:16,core,roadlike,1000,42,333,7,137600.0,180900.0,0.7606412382531785,-0.0433
core:16,core,roadlike,1000,42,333,8,132600.0,143600.0,0.9233983286908078,-0.011
core:16,core,roadlike,1000,42,333,9,128100.0,133100.0,0.9624342599549212,-0.005
core:16,core,roadlike,1000,42,333,10,133200.0,139400.0,0.9555236728837877,-0.0062
core:16,core,roadlike,1000,42,333,11,133200.0,128800.0,1.0341614906832297,0.0044
core:16,core,roadlike,1000,42,666,0,127600.0,135000.0,0.9451851851851852,-0.0074
core:16,core,roadlike,1000,42,666,1,126400.0,119700.0,1.0559732664995822,0.0067
core:16,core,roadlike,1000,42,666,2,183400.0,163800.0,1.1196581196581197,0.0196
core:16,core,roadlike,1000,42,666,3,129800.0,134800.0,0.9629080118694362,-0.005
core:16,core,roadlike,1000,42,666,4,129400.0,130300.0,0.9930928626247122,-0.0009
core:16,core,roadlike,1000,42,666,5,126500.0,131900.0,0.959059893858984,-0.0054
core:16,core,roadlike,1000,42,666,6,130300.0,126900.0,1.0267927501970056,0.0034
core:16,core,roadlike,1000,42,666,7,127200.0,132800.0,0.9578313253012049,-0.0056
core:16,core,roadlike,1000,42,666,8,126000.0,130500.0,0.9655172413793104,-0.0045
core:16,core,roadlike,1000,42,666,9,126200.0,124100.0,1.016921837228042,0.0021
