key,panel,family,n,m,seed,source,arm,ns,prep_ns
layout:13,layout,random,5000,22447,1729,3333,mean_map,769700.0,52400.0
layout:13,layout,random,5000,22447,1729,3333,mean_ring,697350.0,52400.0
layout:13,layout,random,5000,22447,1729,3333,std_binary,1120700.0,0.0
layout:14,layout,bfs,5000,22447,1729,1989,binary,1116550.0,0.0
layout:14,layout,bfs,5000,22447,1729,1989,caliber,958150.0,89200.0
layout:14,layout,bfs,5000,22447,1729,1989,degree4,1265550.0,299800.0
layout:14,layout,bfs,5000,22447,1729,1989,fourary,1219250.0,0.0
layout:14,layout,bfs,5000,22447,1729,1989,max_maxdegree,693550.0,96300.0
layout:14,layout,bfs,5000,22447,1729,1989,mean_degree,708750.0,35900.0
layout:14,layout,bfs,5000,22447,1729,1989,mean_map,612450.0,35900.0
layout:14,layout,bfs,5000,22447,1729,1989,mean_ring,561950.0,35900.0
layout:14,layout,bfs,5000,22447,1729,1989,std_binary,1076700.0,0.0
layout:14,layout,bfs,5000,22447,1729,2419,binary,1086150.0,0.0
layout:14,layout,bfs,5000,22447,1729,2419,caliber,1020200.0,89200.0
layout:14,layout,bfs,5000,22447,1729,2419,degree4,1303550.0,299800.0
layout:14,layout,bfs,5000,22447,1729,2419,fourary,1143550.0,0.0
layout:14,layout,bfs,5000,22447,1729,2419,max_maxdegree,726600.0,96300.0
layout:14,layout,bfs,5000,22447,1729,2419,mean_degree,767750.0,35900.0
layout:14,layout,bfs,5000,22447,1729,2419,mean_map,628450.0,35900.0
layout:14,layout,bfs,5000,22447,1729,2419,mean_ring,588100.0,35900.0
layout:14,layout,bfs,5000,22447,1729,2419,std_binary,1149950.0,0.0
layout:15,layout,rcm,5000,22447,1729,2580,binary,1144400.0,0.0
layout:15,layout,rcm,5000,22447,1729,2580,caliber,972200.0,91700.0
layout:15,layout,rcm,5000,22447,1729,2580,degree4,1299900.0,280900.0
layout:15,layout,rcm,5000,22447,1729,2580,fourary,1144600.0,0.0
layout:15,layout,rcm,5000,22447,1729,2580,max_maxdegree,768300.0,81300.0
layout:15,layout,rcm,5000,22447,1729,2580,mean_degree,690750.0,43600.0
layout:15,layout,rcm,5000,22447,1729,2580,mean_map,629000.0,43600.0
layout:15,layout,rcm,5000,22447,1729,2580,mean_ring,592400.0,43600.0
layout:15,layout,rcm,5000,22447,1729,2580,std_binary,1047800.0,0.0
layout:15,layout,rcm,5000,22447,1729,3010,binary,1126800.0,0.0
layout:15,layout,rcm,5000,22447,1729,3010,caliber,1023750.0,91700.0
layout:15,layout,rcm,5000,22447,1729,3010,degree4,1272250.0,280900.0
layout:15,layout,rcm,5000,22447,1729,3010,fourary,1132950.0,0.0
layout:15,layout,rcm,5000,22447,1729,3010,max_maxdegree,699250.0,81300.0
layout:15,layout,rcm,5000,22447,1729,3010,mean_degree,692900.0,43600.0
layout:15,layout,rcm,5000,22447,1729,3010,mean_map,630100.0,43600.0
layout:15,layout,rcm,5000,22447,1729,3010,mean_ring,649600.0,43600.0
layout:15,layout,rcm,5000,22447,1729,3010,std_binary,1151750.0,0.0
layout:16,layout,weight,100000,448748,1729,33333,binary,50416200.0,0.0
layout:16,layout,weight,100000,448748,1729,33333,caliber,44939200.0,1903100.0
layout:16,layout,weight,100000,448748,1729,33333,degree4,61216250.0,8854000.0
layout:16,layout,weight,100000,448748,1729,33333,fourary,49274500.0,0.0
layout:16,layout,weight,100000,448748,1729,33333,max_maxdegree,25795950.0,2367100.0
layout:16,layout,weight,100000,448748,1729,33333,mean_degree,26223950.0,1462200.0
layout:16,layout,weight,100000,448748,1729,33333,mean_map,26718850.0,1462200.0
