key,panel,family,n,seed,source,arm,median_margin_ms,margin_q25_ms,margin_q75_ms,median_ratio,positive_rounds,rounds
laws:42,laws,clustered_near,2000,2026,1333,caliber,-0.0092,-0.057475,-0.0007000000000000001,0.9825581979617906,2,8
laws:43,laws,clustered_skew,2000,2026,667,caliber,-0.03005,-0.046725,-0.020200000000000003,0.9611008221625303,0,8
laws:43,laws,clustered_skew,2000,2026,1333,caliber,-0.0189,-0.11695,-0.005325,0.9708401520400659,2,8
laws:44,laws,clustered_bimodal,2000,2026,667,caliber,0.00635,-0.01125,0.019525,1.0148747725090228,6,8
laws:44,laws,clustered_bimodal,2000,2026,1333,caliber,-0.020450000000000003,-0.074025,0.02645,0.9535216640567543,3,8
laws:45,laws,clustered_zero,2000,2026,667,caliber,0.30335,0.278975,0.332325,1.5710312408603866,8,8
laws:45,laws,clustered_zero,2000,2026,1333,caliber,0.3494,0.336525,0.41635,1.6412202794253492,8,8
laws:46,laws,clustered_integer,2000,2026,667,caliber,0.08795,0.065275,0.12965,1.0821286786944588,7,8
laws:46,laws,clustered_integer,2000,2026,1333,caliber,0.0503,-0.0801,0.123625,1.0476734323524894,5,8
laws:47,laws,clustered_shuffle,2000,2026,667,caliber,0.05185,0.022525,0.060775,1.0715129137954813,7,8
laws:47,laws,clustered_shuffle,2000,2026,1333,caliber,0.05295,0.009625,0.12417500000000001,1.0761397562315813,7,8
laws:48,laws,clustered_scale,2000,2026,667,caliber,0.10300000000000001,0.0648,0.16025,1.1316349113875717,7,8
laws:48,laws,clustered_scale,2000,2026,1333,caliber,0.11355,0.062325,0.2357,1.1482074527453774,8,8
laws:5,laws,sparse_zero,2000,42,667,caliber,0.1478,0.048225000000000004,0.21237499999999998,1.3860068717058085,7,8
laws:5,laws,sparse_zero,2000,42,1333,caliber,0.12140000000000001,0.08952500000000001,0.135325,1.3173026203649334,7,8
laws:6,laws,sparse_integer,2000,42,667,caliber,0.027700000000000002,-0.02465,0.055224999999999996,1.070303992862148,5,8
laws:6,laws,sparse_integer,2000,42,1333,caliber,0.0605,0.04285,0.08460000000000001,1.1542916735555584,7,8
laws:7,laws,sparse_shuffle,2000,42,667,caliber,0.0504,0.037975,0.08460000000000001,1.1493570361094783,7,8
laws:7,laws,sparse_shuffle,2000,42,1333,caliber,0.036699999999999997,0.032225000000000004,0.043300000000000005,1.1071620205461552,8,8
laws:8,laws,sparse_scale,2000,42,667,caliber,0.03925,0.030875,0.059175,1.1145187238653662,7,8
laws:8,laws,sparse_scale,2000,42,1333,caliber,0.07245,0.043675,0.086975,1.1940442527267687,7,8
laws:9,laws,clustered_uniform,2000,42,667,caliber,0.0745,0.0051,0.08572500000000001,1.0956607063988406,6,8
laws:9,laws,clustered_uniform,2000,42,1333,caliber,0.05405,0.013049999999999999,0.07262500000000001,1.0722808725393036,6,8
layout:1,layout,weight,5000,42,1666,caliber,0.09165000000000001,0.0889,0.09815,1.0969461490762553,7,8
layout:1,layout,weight,5000,42,3333,caliber,0.09620000000000001,0.07435,0.14242500000000002,1.1013836901945449,7,8
layout:10,layout,rcm,100000,42,77462,caliber,4.65005,2.340325,5.139775,1.1023414234664752,8,8
layout:10,layout,rcm,100000,42,96072,caliber,1.6759499999999998,0.07055,4.862725,1.0363087505049853,6,8
layout:11,layout,weight,5000,1729,1666,caliber,0.14285,0.021250000000000005,0.192925,1.1400809589821668,6,8
layout:11,layout,weight,5000,1729,3333,caliber,0.1159,0.0857,0.139525,1.1238907521532613,7,8
layout:12,layout,destination,5000,1729,1666,caliber,0.1351,0.041775,0.1404,1.1336696610963006,6,8
layout:12,layout,destination,5000,1729,3333,caliber,0.12115000000000001,0.09165,0.1442,1.1235039137447043,7,8
layout:13,layout,random,5000,1729,1666,caliber,0.1635,0.058300000000000005,0.194825,1.1641364315176383,7,8
layout:13,layout,random,5000,1729,3333,caliber,0.13495000000000001,0.069525,0.1553,1.1408939903888684,6,8
layout:14,layout,bfs,5000,1729,1989,caliber,0.1109,0.094525,0.12407499999999999,1.1116864865152662,8,8
layout:14,layout,bfs,5000,1729,2419,caliber,0.1451,0.037575,0.20535,1.144640070127054,7,8
layout:15,layout,rcm,5000,1729,2580,caliber,0.0878,0.051125000000000004,0.147975,1.0934055024849432,7,8
