family,seed,source,rate,arm,null_seed,admitted,potential_work,pushes,pops,comparisons,scouts,scout_scans,scout_yield,field_ns
sparse,42,666,0.5,weight_permutation,4,2285,12509,1568,1568,27104,368,1962,725,31715000
sparse,42,333,0.05,vertex_permutation,5,228,1056,1412,1412,23440,52,254,123,31715000
sparse,42,666,0.05,vertex_permutation,5,228,1056,1415,1415,23535,53,229,108,31715000
sparse,42,333,0.05,weight_permutation,5,228,1322,1441,1441,24091,51,308,154,31715000
sparse,42,666,0.05,weight_permutation,5,228,1322,1423,1423,23732,53,319,121,31715000
sparse,42,333,0.1,vertex_permutation,5,457,2091,1441,1441,24227,99,462,212,31715000
sparse,42,666,0.1,vertex_permutation,5,457,2091,1449,1449,24384,96,421,205,31715000
sparse,42,333,0.1,weight_permutation,5,457,2694,1478,1478,24954,92,557,267,31715000
sparse,42,666,0.1,weight_permutation,5,457,2694,1470,1470,24799,96,586,230,31715000
sparse,42,333,0.25,vertex_permutation,5,1142,5167,1489,1489,25462,217,951,403,31715000
sparse,42,666,0.25,vertex_permutation,5,1142,5167,1524,1524,26119,229,998,422,31715000
sparse,42,333,0.25,weight_permutation,5,1142,6524,1597,1597,27723,216,1262,539,31715000
sparse,42,666,0.25,weight_permutation,5,1142,6524,1545,1545,26484,216,1242,464,31715000
sparse,42,333,0.5,vertex_permutation,5,2285,10570,1543,1543,26650,365,1649,680,31715000
sparse,42,666,0.5,vertex_permutation,5,2285,10570,1620,1620,28208,409,1779,716,31715000
sparse,42,333,0.5,weight_permutation,5,2285,12527,1641,1641,28669,354,1915,777,31715000
sparse,42,666,0.5,weight_permutation,5,2285,12527,1603,1603,27811,378,2057,757,31715000
sparse,42,333,0.05,vertex_permutation,6,228,1075,1426,1426,23714,58,262,97,31715000
sparse,42,666,0.05,vertex_permutation,6,228,1075,1406,1406,23423,56,252,121,31715000
sparse,42,333,0.05,weight_permutation,6,228,1302,1411,1411,23441,53,293,129,31715000
sparse,42,666,0.05,weight_permutation,6,228,1302,1415,1415,23586,51,289,136,31715000
sparse,42,333,0.1,vertex_permutation,6,457,2051,1473,1473,24802,106,464,212,31715000
sparse,42,666,0.1,vertex_permutation,6,457,2051,1439,1439,24162,113,491,229,31715000
sparse,42,333,0.1,weight_permutation,6,457,2591,1469,1469,24840,108,590,255,31715000
sparse,42,666,0.1,weight_permutation,6,457,2591,1479,1479,25095,104,591,311,31715000
sparse,42,333,0.25,vertex_permutation,6,1142,5314,1536,1536,26191,217,990,416,31715000
sparse,42,666,0.25,vertex_permutation,6,1142,5314,1481,1481,25262,228,1058,435,31715000
sparse,42,333,0.25,weight_permutation,6,1142,6357,1559,1559,26804,212,1157,499,31715000
sparse,42,666,0.25,weight_permutation,6,1142,6357,1580,1580,27286,215,1204,506,31715000
sparse,42,333,0.5,vertex_permutation,6,2285,10541,1661,1661,29022,380,1792,759,31715000
sparse,42,666,0.5,vertex_permutation,6,2285,10541,1560,1560,26965,364,1712,689,31715000
sparse,42,333,0.5,weight_permutation,6,2285,12312,1622,1622,28165,356,1859,779,31715000
sparse,42,666,0.5,weight_permutation,6,2285,12312,1643,1643,28739,355,1951,787,31715000
sparse,42,333,0.05,vertex_permutation,7,228,938,1412,1412,23359,50,210,84,31715000
sparse,42,666,0.05,vertex_permutation,7,228,938,1406,1406,23336,52,239,90,31715000
sparse,42,333,0.05,weight_permutation,7,228,1256,1421,1421,23635,55,310,114,31715000
sparse,42,666,0.05,weight_permutation,7,228,1256,1422,1422,23720,49,298,144,31715000
sparse,42,333,0.1,vertex_permutation,7,457,2066,1473,1473,24840,104,475,210,31715000
sparse,42,666,0.1,vertex_permutation,7,457,2066,1422,1422,23700,93,449,181,31715000
sparse,42,333,0.1,weight_permutation,7,457,2485,1472,1472,24740,111,611,246,31715000
sparse,42,666,0.1,weight_permutation,7,457,2485,1465,1465,24745,94,528,249,31715000
sparse,42,333,0.25,vertex_permutation,7,1142,5257,1565,1565,26899,220,1062,481,31715000
sparse,42,666,0.25,vertex_permutation,7,1142,5257,1509,1509,25765,220,1012,414,31715000
sparse,42,333,0.25,weight_permutation,7,1142,6326,1565,1565,26835,214,1179,477,31715000
sparse,42,666,0.25,weight_permutation,7,1142,6326,1557,1557,26764,214,1188,504,31715000
sparse,42,333,0.5,vertex_permutation,7,2285,10730,1643,1643,28718,387,1807,741,31715000
sparse,42,666,0.5,vertex_permutation,7,2285,10730,1577,1577,27292,380,1775,662,31715000
sparse,42,333,0.5,weight_permutation,7,2285,12445,1670,1670,29237,369,1986,799,31715000
sparse,42,666,0.5,weight_permutation,7,2285,12445,1603,1603,27963,355,1952,753,31715000
sparse,42,333,0.05,vertex_permutation,8,228,1003,1406,1406,23261,54,246,89,31715000
sparse,42,666,0.05,vertex_permutation,8,228,1003,1406,1406,23376,54,253,96,31715000
sparse,42,333,0.05,weight_permutation,8,228,1305,1423,1423,23727,53,303,128,31715000
sparse,42,666,0.05,weight_permutation,8,228,1305,1419,1419,23650,54,308,127,31715000
sparse,42,333,0.1,vertex_permutation,8,457,2009,1455,1455,24442,111,515,202,31715000
sparse,42,666,0.1,vertex_permutation,8,457,2009,1433,1433,24020,100,453,173,31715000
sparse,42,333,0.1,weight_permutation,8,457,2599,1466,1466,24700,105,594,246,31715000
sparse,42,666,0.1,weight_permutation,8,457,2599,1454,1454,24433,100,567,251,31715000
sparse,42,333,0.25,vertex_permutation,8,1142,5108,1521,1521,25930,224,1044,441,31715000
sparse,42,666,0.25,vertex_permutation,8,1142,5108,1511,1511,25807,218,914,395,31715000
sparse,42,333,0.25,weight_permutation,8,1142,6451,1546,1546,26405,211,1140,467,31715000
sparse,42,666,0.25,weight_permutation,8,1142,6451,1545,1545,26601,208,1192,471,31715000
sparse,42,333,0.5,vertex_permutation,8,2285,10508,1595,1595,27633,375,1736,691,31715000
sparse,42,666,0.5,vertex_permutation,8,2285,10508,1604,1604,27823,377,1721,692,31715000
sparse,42,333,0.5,weight_permutation,8,2285,12402,1609,1609,27947,357,1903,735,31715000
sparse,42,666,0.5,weight_permutation,8,2285,12402,1618,1618,28168,355,1956,733,31715000
sparse,42,333,0.05,vertex_permutation,9,228,991,1442,1442,23984,66,286,127,31715000
sparse,42,666,0.05,vertex_permutation,9,228,991,1411,1411,23458,51,220,104,31715000
sparse,42,333,0.05,weight_permutation,9,228,1362,1444,1444,24247,56,351,155,31715000
sparse,42,666,0.05,weight_permutation,9,228,1362,1442,1442,24205,54,353,175,31715000
sparse,42,333,0.1,vertex_permutation,9,457,2014,1473,1473,24739,103,460,224,31715000
sparse,42,666,0.1,vertex_permutation,9,457,2014,1427,1427,23775,94,419,179,31715000
sparse,42,333,0.1,weight_permutation,9,457,2688,1474,1474,24861,89,526,230,31715000
sparse,42,666,0.1,weight_permutation,9,457,2688,1480,1480,24989,96,597,285,31715000
sparse,42,333,0.25,vertex_permutation,9,1142,5223,1550,1550,26640,225,1005,458,31715000
sparse,42,666,0.25,vertex_permutation,9,1142,5223,1493,1493,25437,222,953,387,31715000
sparse,42,333,0.25,weight_permutation,9,1142,6505,1517,1517,25774,195,1097,435,31715000
sparse,42,666,0.25,weight_permutation,9,1142,6505,1545,1545,26528,206,1185,518,31715000
sparse,42,333,0.5,vertex_permutation,9,2285,10519,1577,1577,27264,372,1712,701,31715000
sparse,42,666,0.5,vertex_permutation,9,2285,10519,1591,1591,27621,365,1643,695,31715000
sparse,42,333,0.5,weight_permutation,9,2285,12773,1601,1601,27746,343,1919,754,31715000
sparse,42,666,0.5,weight_permutation,9,2285,12773,1574,1574,27271,339,1897,740,31715000
sparse,42,333,0.05,vertex_permutation,10,228,1083,1441,1441,24204,49,236,134,31715000
sparse,42,666,0.05,vertex_permutation,10,228,1083,1421,1421,23707,51,266,145,31715000
sparse,42,333,0.05,weight_permutation,10,228,1320,1419,1419,23661,50,284,137,31715000
sparse,42,666,0.05,weight_permutation,10,228,1320,1419,1419,23660,56,328,137,31715000
sparse,42,333,0.1,vertex_permutation,10,457,2117,1470,1470,24806,98,461,217,31715000
sparse,42,666,0.1,vertex_permutation,10,457,2117,1442,1442,24180,90,422,188,31715000
sparse,42,333,0.1,weight_permutation,10,457,2607,1469,1469,24694,104,578,252,31715000
sparse,42,666,0.1,weight_permutation,10,457,2607,1455,1455,24457,97,563,243,31715000
